Movie Title,Imdb Rating
Rebecca,8.1
Return to Me,6.9
Smokey and the Bandit,7.0
Snowden,7.3
Spanglish,6.4
Stranger Than Fiction,7.5
Sweet Home Alabama,6.2
Thank You for Smoking,7.5
The Aviator,7.5
The Best Little Whorehouse in Texas,6.0
The Cable Guy,6.1
The Mask,6.9
The Next Three Days,7.3
The Normal Heart,7.9
The Nutty Professor,5.7
The Time Traveler's Wife,7.1
Wedding Crashers,7.0
What's Eating Gilbert Grape,7.7
42,7.5
50 First Dates,6.8
A History of Violence,7.4
Accepted,6.4
Amelie,8.3
Body of Lies,7.0
Bridget Jones's Baby,6.5
Bridget Jones's Diary,6.8
Bull Durham,7.1
Call Me by Your Name,7.8
Crank,6.9
Crazy Rich Asians,6.9
Don't Mess with the Zohan,5.6
Everything Everywhere All at Once,7.8
He's Just Not That Into You,6.4
Heartbreakers,6.2
I Love You Phillip Morris,6.6
Just Like Heaven,6.7
Love Stinks,5.7
Mona Lisa Smile,6.5
My Best Friend's Wedding,6.3
Pusher,7.3
RED,7.0
Raiders of the Lost Ark,8.4
Seven,6.3
Talladega Nights: The Ballad of Ricky Bobby,6.6
The Count of Monte Cristo,7.7
The Fabulous Baker Boys,6.9
The Good Shepherd,6.7
The Happening,5.0
The Mask of Zorro,6.8
The Wedding Singer,6.9
Walk Hard,6.8
Wild Things,6.6
X-Men,7.3
X-Men Origins: Wolverine,6.5
Y tu mamá también,6.7
A Happening of Monumental Proportions,4.9
A Very Long Engagement,7.6
Alex & Emma,5.5
Batman Forever,5.4
Blue Is The Warmest Color,None
"Crazy, Stupid, Love",7.4
Crimson Peak,6.5
Dan in Real Life,6.8
Deepwater Horizon,7.1
Dirty Dancing,7.0
Edward Scissorhands,7.9
Enchanted,7.1
Fantastic Beasts and Where to Find Them,7.2
From Here to Eternity,7.6
Groundhog Day,8.0
"I, Tonya",7.5
Killing Zoe,6.4
Leatherheads,6.0
Magic Mike,6.1
Meet Joe Black,7.2
Mo' Better Blues,6.7
National Lampoon's Vacation,7.3
Out of Sight,7.0
P.S. I Love You,7.0
Pirates of the Caribbean,8.1
Prime,6.2
Professor Marston and the Wonder Women,None
Proof of Life,6.3
Red Planet,5.7
Snow Dogs,5.2
Solaris,6.2
Sorry to Bother You,6.9
That Thing You Do!,7.0
The African Queen,7.7
The Bodyguard,6.3
The Constant Gardener,7.4
The Dark Knight Rises,8.4
The Incredible Hulk,6.6
The Judge,7.4
The Secret Life of Walter Mitty,7.3
The Water Boy,None
Top Gun: Maverick,8.3
A Walk on the Moon,6.6
Aquaman,6.8
Austin Powers: The Spy Who Shagged Me,6.6
Away We Go,7.0
Barbershop,6.3
Billy Madison,6.3
Bruce Almighty,6.8
Captain Blood,7.7
Cast Away,7.8
